followee;follower;id_followee;id_follower
PoletAlexandra6;SergioN99999330;27227;2823
Cooperativa;Crisleiva987;0;735
latercera;Crisleiva987;2;735
patriciamera;Crisleiva987;31780;735
Cooperativa;EJRAMIR77394565;0;2250
elmostrador;EJRAMIR77394565;3;2250
KoteSiita;EJRAMIR77394565;445;2250
Migueln0_0;EJRAMIR77394565;19286;2250
msanhuezacelsi;EJRAMIR77394565;38491;2250
Cooperativa;AmacheNelly;0;2674
latercera;AmacheNelly;2;2674
carlosfebre;AmacheNelly;21188;2674
Cooperativa;NoticieroAFTV;0;730
Cooperativa;WhinyWhitch;0;1213
elmostrador;WhinyWhitch;3;1213
corellanau;WhinyWhitch;17956;1213
Cooperativa;EliecerNanculeo;0;1976
latercera;EliecerNanculeo;2;1976
Titaaa_300;EliecerNanculeo;2743;1976
Cooperativa;ValdaFranz;0;2423
Cooperativa;miguelm56154649;0;304
latercera;miguelm56154649;2;304
elmostrador;miguelm56154649;3;304
Cooperativa;62alejandrogon1;0;190
Cooperativa;carlasalazarn0;0;723
Javierm68827588;carlasalazarn0;7537;723
Junorecords;carlasalazarn0;41221;723
Cooperativa;hvv89840696;0;852
EnCamino13;hvv89840696;10089;852
JLeonardo1710;hvv89840696;11552;852
DavidG79;hvv89840696;6322;852
Cooperativa;NicolsB70836164;0;127
latercera;NicolsB70836164;2;127
Terremotoh;NicolsB70836164;13327;127
RedReisy;NicolsB70836164;14021;127
heterenganado;NicolsB70836164;8714;127
Cooperativa;theSaimon10;0;796
ocb_bertin;theSaimon10;6140;796
BibliotecasUCT;theSaimon10;27028;796
Cooperativa;mabeldi10444135;0;252
kend_soul;mabeldi10444135;17516;252
Cooperativa;Benedic_cavi;0;2461
elmostrador;Benedic_cavi;3;2461
AriasIsla;Benedic_cavi;17775;2461
LionecElOtta;Benedic_cavi;3904;2461
Cooperativa;InsurgenteEc;0;1319
latercera;InsurgenteEc;2;1319
elmostrador;InsurgenteEc;3;1319
Pochitols;InsurgenteEc;20935;1319
Cooperativa;Raimund00876653;0;2638
Gabri2013;Raimund00876653;40068;2638
ElTiempoValpoCL;Raimund00876653;29631;2638
Cooperativa;LuzRamo38632142;0;2913
cuniculturasic;LuzRamo38632142;32280;2913
Cooperativa;Francis55506662;0;1151
