Date,Open,High,Low,Close,Adj Close,Volume
2017-01-13,654.030029,666.700012,654.030029,653.539978,653.539978,0
2017-01-16,658.799988,661.890015,658.799988,658.799988,658.799988,0
2017-01-17,659.599976,661.900024,655.200012,647.099976,647.099976,0
2017-01-18,656.299988,659.369995,655.940002,643.719971,643.719971,0
2017-01-19,661.299988,661.929993,658.150024,648.080017,648.080017,0
2017-01-20,660.299988,661.700012,657.099976,660.299988,660.299988,0
2017-01-23,656.799988,656.859985,641.570007,644.179993,644.179993,0
2017-01-24,649.799988,654.599976,649.799988,636.859985,636.859985,0
2017-01-25,652.099976,652.419983,649.789978,652.099976,652.099976,0
2017-01-26,647.900024,651.000000,638.539978,647.900024,647.900024,0
2017-01-27,650.799988,651.039978,648.200012,638.270020,638.270020,0
2017-01-30,649.400024,650.150024,635.280029,649.400024,649.400024,0
2017-01-31,647.700012,648.070007,643.799988,647.700012,647.700012,0
2017-02-01,648.000000,648.750000,628.940002,648.000000,648.000000,0
2017-02-02,645.700012,647.900024,641.700012,646.099976,646.099976,0
2017-02-03,642.000000,644.630005,635.400024,642.000000,642.000000,0
2017-02-06,640.099976,640.369995,636.799988,640.700012,640.700012,0
2017-02-07,640.400024,647.900024,638.500000,640.400024,640.400024,0
2017-02-08,646.099976,648.369995,640.650024,646.099976,646.099976,0
2017-02-09,647.299988,649.940002,643.500000,647.299988,647.299988,0
2017-02-10,637.409973,645.500000,637.409973,637.450012,637.450012,0
2017-02-13,639.200012,643.299988,632.830017,639.200012,639.200012,0
2017-02-14,641.599976,644.099976,638.700012,642.099976,642.099976,0
2017-02-15,640.900024,641.640015,637.099976,640.900024,640.900024,0
2017-02-16,638.500000,639.900024,622.940002,638.500000,638.500000,0
2017-02-17,638.599976,644.700012,636.299988,638.599976,638.599976,0
2017-02-20,641.700012,643.599976,628.619995,643.599976,643.599976,0
2017-02-21,640.599976,644.140015,640.599976,640.599976,640.599976,0
2017-02-22,642.700012,642.919983,639.900024,641.299988,641.299988,0
2017-02-23,642.200012,642.729980,625.489990,642.549988,642.549988,0
2017-02-24,641.000000,646.969971,641.000000,641.000000,641.000000,0
2017-02-27,646.299988,646.500000,631.520020,646.299988,646.299988,0
2017-02-28,646.000000,650.599976,646.000000,646.349976,646.349976,0
2017-03-01,649.799988,651.679993,647.700012,650.200012,650.200012,0
2017-03-02,650.799988,656.250000,649.099976,650.799988,650.799988,0
2017-03-03,654.799988,657.400024,653.000000,654.799988,654.799988,0
2017-03-06,656.700012,659.530029,638.590027,656.700012,656.700012,0
2017-03-07,661.200012,661.599976,658.700012,661.200012,661.200012,0
2017-03-08,658.400024,662.000000,648.250000,658.400024,658.400024,0
2017-03-09,662.799988,666.000000,648.090027,662.799988,662.799988,0
2017-03-10,665.000000,665.299988,650.219971,665.000000,665.000000,0
2017-03-13,664.000000,666.640015,644.989990,663.400024,663.400024,0
2017-03-14,666.000000,669.409973,666.000000,666.000000,666.000000,0
2017-03-15,668.900024,670.130005,667.200012,668.900024,668.900024,0
2017-03-16,666.000000,666.000000,657.799988,666.000000,666.000000,0
